Defects,Formation_Energies
CdSe_II_VI_M_B_Cl.cif,-0.44
CdSe_II_VI_M_B_Cr.cif,-0.26
CdSe_II_VI_M_B_I.cif,-0.58
CdSe_II_VI_M_B_N.cif,-1.38
CdSe_II_VI_M_B_S.cif,-1.65
CdSe_II_VI_M_B_Te.cif,-0.12
CdSe_II_VI_M_i_A_Cr.cif,-1.65
CdSe_II_VI_M_i_A_Fe.cif,-0.08
CdSe_II_VI_M_i_A_Li.cif,-0.30
CdSe_II_VI_M_i_A_Mn.cif,-0.67
CdSe_II_VI_M_i_A_N.cif,-0.01
CdSe_II_VI_M_i_A_Ti.cif,-0.53
CdSe_II_VI_M_i_A_V.cif,-1.44
CdSe_II_VI_M_i_B_Cr.cif,-2.29
CdSe_II_VI_M_i_B_Cu.cif,-0.51
CdSe_II_VI_M_i_B_Fe.cif,-0.71
CdSe_II_VI_M_i_B_Li.cif,-0.54
CdSe_II_VI_M_i_B_Mg.cif,0.00
CdSe_II_VI_M_i_B_Mn.cif,-1.50
CdSe_II_VI_M_i_B_N.cif,-0.51
CdSe_II_VI_M_i_B_Ni.cif,-0.47
CdSe_II_VI_M_i_B_Sc.cif,-0.43
CdSe_II_VI_M_i_B_Ti.cif,-1.25
CdSe_II_VI_M_i_B_V.cif,-2.05
CdSe_II_VI_M_i_B_Zn.cif,-0.14
CdSe_II_VI_M_i_neut_Cr.cif,-1.78
CdSe_II_VI_M_i_neut_Cu.cif,-0.36
CdSe_II_VI_M_i_neut_Fe.cif,-0.30
CdSe_II_VI_M_i_neut_Li.cif,-0.36
CdSe_II_VI_M_i_neut_Mn.cif,-0.60
CdSe_II_VI_M_i_neut_N.cif,-0.47
CdSe_II_VI_M_i_neut_Ni.cif,-0.41
CdSe_II_VI_M_i_neut_Ti.cif,-0.12
CdSe_II_VI_M_i_neut_V.cif,-0.96
CdSe_V_Cd.cif,-1.49
CdSe_V_Se.cif,-1.63
CdTe_II_VI_M_A_Co.cif,-0.98
CdTe_II_VI_M_A_Cr.cif,-3.07
CdTe_II_VI_M_A_Cu.cif,-0.73
CdTe_II_VI_M_A_Fe.cif,-1.33
CdTe_II_VI_M_A_In.cif,-0.03
CdTe_II_VI_M_A_K.cif,-0.01
CdTe_II_VI_M_A_Li.cif,0.00
CdTe_II_VI_M_A_Mg.cif,-0.51
CdTe_II_VI_M_A_Mn.cif,-2.21
CdTe_II_VI_M_A_N.cif,-1.31
CdTe_II_VI_M_A_Na.cif,-0.05
CdTe_II_VI_M_A_Ni.cif,-0.72
CdTe_II_VI_M_A_Sc.cif,-1.50
CdTe_II_VI_M_A_Ti.cif,-2.18
CdTe_II_VI_M_A_V.cif,-3.04
CdTe_II_VI_M_A_Zn.cif,-0.66
CdTe_II_VI_M_B_As.cif,-0.01
CdTe_II_VI_M_B_Bi.cif,-0.02
CdTe_II_VI_M_B_Br.cif,-0.67
CdTe_II_VI_M_B_Cr.cif,-0.51
CdTe_II_VI_M_B_I.cif,-0.46
CdTe_II_VI_M_B_N.cif,-1.39
CdTe_II_VI_M_B_Ni.cif,-0.17
CdTe_II_VI_M_B_P.cif,0.00
CdTe_II_VI_M_B_Sb.cif,-0.12
CdTe_II_VI_M_B_Se.cif,-0.86
CdTe_II_VI_M_B_V.cif,-0.46
CdTe_II_VI_M_i_A_Co.cif,-0.30
CdTe_II_VI_M_i_A_Cr.cif,-1.47
CdTe_II_VI_M_i_A_Mn.cif,-0.55
CdTe_II_VI_M_i_A_N.cif,-1.53
CdTe_II_VI_M_i_A_Ni.cif,-0.32
CdTe_II_VI_M_i_A_Ti.cif,-0.52
CdTe_II_VI_M_i_A_V.cif,-1.28
CdTe_II_VI_M_i_B_Co.cif,-0.47
CdTe_II_VI_M_i_B_Cr.cif,-2.08
CdTe_II_VI_M_i_B_Cu.cif,-0.48
CdTe_II_VI_M_i_B_Fe.cif,-0.53
CdTe_II_VI_M_i_B_Li.cif,-0.31
CdTe_II_VI_M_i_B_Mn.cif,-1.32
CdTe_II_VI_M_i_B_N.cif,-1.42
CdTe_II_VI_M_i_B_Na.cif,-0.18
CdTe_II_VI_M_i_B_Ni.cif,-0.86
CdTe_II_VI_M_i_B_Sc.cif,-0.50
CdTe_II_VI_M_i_B_Ti.cif,-1.33
CdTe_II_VI_M_i_B_V.cif,-2.01
CdTe_II_VI_M_i_neut_Co.cif,-0.62
CdTe_II_VI_M_i_neut_Cr.cif,-2.02
CdTe_II_VI_M_i_neut_Cu.cif,-0.49
CdTe_II_VI_M_i_neut_Fe.cif,-0.30
CdTe_II_VI_M_i_neut_Li.cif,-0.03
CdTe_II_VI_M_i_neut_Mn.cif,-0.72
CdTe_II_VI_M_i_neut_N.cif,-1.10
CdTe_II_VI_M_i_neut_Ni.cif,-1.00
CdTe_II_VI_M_i_neut_Ti.cif,-0.57
CdTe_II_VI_M_i_neut_V.cif,-1.43
CdTe_V_Te.cif,-0.15
GaAs_III_V_M_A_Cr.cif,-1.40
GaAs_III_V_M_A_Cu.cif,-0.40
GaAs_III_V_M_A_Fe.cif,-0.26
GaAs_III_V_M_A_Mn.cif,-0.49
GaAs_III_V_M_A_N.cif,0.00
GaAs_III_V_M_A_Ni.cif,-0.11
GaAs_III_V_M_A_Sc.cif,0.00
GaAs_III_V_M_A_Ti.cif,-0.59
GaAs_III_V_M_A_V.cif,-0.66
GaAs_III_V_M_B_Al.cif,0.00
GaAs_III_V_M_B_B.cif,-0.02
GaAs_III_V_M_B_Br.cif,-0.12
GaAs_III_V_M_B_Cd.cif,0.00
GaAs_III_V_M_B_Cr.cif,-1.13
GaAs_III_V_M_B_Ga.cif,-0.01
GaAs_III_V_M_B_Ge.cif,-0.01
GaAs_III_V_M_B_In.cif,-0.01
GaAs_III_V_M_B_N.cif,-2.85
GaAs_III_V_M_B_Ni.cif,-0.43
